book_id,avg_sentence_length,avg_char_per_word,avg_punctuation_per_sentence,long_word_ratio,noun_ratio,verb_ratio,adverb_ratio,preposition_ratio,adjective_ratio,article_ratio,gerund_infinitive_ratio,downtoner_ratio,amplifier_ratio,demonstrative_ratio,type_token_ratio,genre
pg9807.epub,0.0791,4.3262,3.5229,0.176,0.2464,0.1934,0.0647,0.1169,0.0578,0.0678,0.0166,0.0016,0.0033,0.0209,0.004,Mystery
pg36758.epub,0.0617,4.1034,3.4348,0.1445,0.1906,0.2082,0.0661,0.1155,0.0554,0.0622,0.017,0.003,0.0021,0.0196,0.0036,Mystery
pg41525.epub,0.0698,4.1568,3.5896,0.1643,0.2013,0.2103,0.073,0.1135,0.0629,0.0641,0.018,0.0039,0.0038,0.0226,0.0054,Mystery
pg46008.epub,0.0828,4.1911,3.9148,0.1486,0.238,0.2015,0.0612,0.1029,0.0681,0.0616,0.0126,0.0024,0.0013,0.0183,0.0056,Mystery
pg1832.epub,0.066,4.2245,2.7268,0.1476,0.2232,0.1897,0.0683,0.1186,0.0666,0.0899,0.0138,0.0029,0.0035,0.0217,0.0083,Mystery
pg1857.epub,0.0715,4.2552,2.7952,0.1664,0.2118,0.1932,0.0657,0.1186,0.0634,0.0736,0.0164,0.0028,0.0032,0.0208,0.0037,Mystery
pg30838.epub,0.0764,4.1352,3.5041,0.1442,0.2298,0.1956,0.0619,0.1202,0.0625,0.0885,0.0153,0.0022,0.0022,0.017,0.0046,Mystery
pg40491.epub,0.0691,4.3158,3.1933,0.1866,0.2015,0.2078,0.0659,0.1175,0.0504,0.065,0.0172,0.0037,0.0042,0.0228,0.0062,Mystery
pg34277.epub,0.0833,4.3279,2.8629,0.1833,0.2436,0.1905,0.0599,0.1182,0.0647,0.0769,0.0146,0.0027,0.0025,0.0184,0.0046,Mystery
pg35304.epub,0.0654,4.1411,3.7525,0.1443,0.2269,0.1865,0.065,0.1198,0.0607,0.0798,0.016,0.0029,0.0023,0.0169,0.0048,Mystery
pg5094.epub,0.0788,4.2451,2.4212,0.1648,0.2353,0.1993,0.0635,0.121,0.0476,0.0979,0.0215,0.0034,0.0015,0.0092,0.0032,Mystery
pg1849.epub,0.102,4.1959,2.8135,0.1642,0.2251,0.2047,0.0615,0.1073,0.0606,0.0627,0.0127,0.0028,0.0038,0.0166,0.0039,Mystery
pg1155Agatha2.epub,0.1112,4.2581,2.6983,0.1612,0.2417,0.204,0.0668,0.1053,0.0626,0.0684,0.0153,0.0023,0.0025,0.0151,0.0044,Mystery
pg26482.epub,0.069,4.2914,3.598,0.1649,0.227,0.1914,0.0673,0.1143,0.0683,0.0669,0.0211,0.0027,0.0033,0.0181,0.0024,Mystery
pg9746.epub,0.0562,4.3011,3.34,0.1764,0.227,0.1876,0.0607,0.1191,0.0607,0.0685,0.0169,0.0011,0.0022,0.0213,0.4978,Mystery
pg37338.epub,0.067,4.2058,3.3477,0.1505,0.2256,0.1816,0.0621,0.1272,0.0733,0.0813,0.0147,0.0045,0.0026,0.0159,0.0072,Mystery
pg46623.epub,0.0476,4.1448,4.2149,0.1531,0.2191,0.1826,0.0558,0.1364,0.0641,0.0879,0.0177,0.003,0.0023,0.0194,0.0056,Mystery
pg34934.epub,0.0885,4.0856,2.6518,0.1359,0.2314,0.2025,0.0559,0.1152,0.05,0.0871,0.0173,0.0017,0.0015,0.0166,0.0069,Mystery
pg35003.epub,0.0533,4.2366,3.1692,0.1614,0.208,0.1857,0.06,0.1294,0.0674,0.0766,0.018,0.0027,0.0018,0.02,0.0206,Mystery
pg31578.epub,0.0637,4.2101,2.8679,0.1597,0.2037,0.1963,0.0617,0.1238,0.06,0.0748,0.0195,0.0028,0.0023,0.0197,0.0028,Mystery
pg1835.epub,0.0684,4.279,2.5411,0.1544,0.2288,0.1825,0.0616,0.1179,0.0731,0.1012,0.0143,0.0032,0.0024,0.0197,0.0278,Mystery
pg2147EdgarPoe1.epub,0.0476,4.4939,3.7057,0.2104,0.2351,0.1611,0.0612,0.1493,0.0773,0.0944,0.0172,0.0037,0.0046,0.0177,0.0046,Mystery
pg10943.epub,0.0819,4.3949,3.3435,0.1869,0.2575,0.1862,0.062,0.1163,0.058,0.0866,0.0143,0.0021,0.0011,0.0154,0.0088,Mystery
pg6864.epub,0.1001,4.4377,3.143,0.1939,0.2803,0.1818,0.0511,0.1153,0.0705,0.0856,0.0158,0.0022,0.0016,0.0146,0.0068,Mystery
pg33004.epub,0.0619,4.1944,3.3253,0.1597,0.1972,0.21,0.062,0.1222,0.0563,0.0683,0.0181,0.0033,0.0031,0.0203,0.0036,Mystery
pg48297.epub,0.053,4.0781,3.1164,0.1325,0.185,0.2,0.0664,0.1285,0.0563,0.078,0.0154,0.0028,0.0039,0.0232,0.0072,Adventure
pg21578.epub,0.0489,4.3723,4.0236,0.1862,0.2201,0.1771,0.0644,0.1307,0.0756,0.0831,0.0172,0.0028,0.005,0.0214,0.0024,Adventure
pg27909.epub,0.0376,4.3843,4.6118,0.1811,0.2117,0.178,0.0751,0.1417,0.0651,0.0888,0.0241,0.0034,0.0041,0.0239,0.0024,Adventure
pg44375.epub,0.0611,4.4321,3.5604,0.2002,0.2305,0.1869,0.0564,0.126,0.0655,0.0884,0.0188,0.0035,0.0022,0.0145,0.0047,Adventure
pg13721HermanVoyage2.epub,0.0711,4.5125,3.9891,0.1921,0.272,0.1723,0.0564,0.1262,0.0801,0.0714,0.0226,0.0012,0.002,0.0191,0.0046,Adventure
pg8396.epub,0.1087,4.1241,2.846,0.1385,0.2684,0.1847,0.0507,0.1124,0.0622,0.0909,0.0224,0.0022,0.0009,0.0099,0.0038,Adventure
pg17047.epub,0.0721,4.2416,2.7036,0.1589,0.243,0.1827,0.0505,0.1167,0.075,0.0876,0.0141,0.0019,0.0033,0.0111,0.0041,Adventure
pg21067.epub,0.0333,4.3455,4.8094,0.1815,0.2101,0.177,0.0676,0.1428,0.0661,0.0928,0.0226,0.0035,0.0048,0.0211,0.0041,Adventure
pg21087.epub,0.0513,4.2311,4.8869,0.168,0.2318,0.1791,0.0672,0.1321,0.0659,0.0886,0.031,0.0028,0.0025,0.0151,0.0046,Adventure
pg21887.epub,0.0613,4.3526,2.7053,0.1802,0.2418,0.1862,0.0541,0.1248,0.0633,0.0902,0.0217,0.0026,0.0032,0.0184,0.0039,Adventure
pg9849.epub,0.0697,4.1919,3.0076,0.1598,0.2236,0.2085,0.0608,0.112,0.0546,0.0713,0.0147,0.0028,0.0013,0.0175,0.0027,Adventure
pg32516.epub,0.0539,4.1792,3.922,0.1617,0.2301,0.1867,0.0507,0.1351,0.0607,0.0871,0.0263,0.002,0.0023,0.016,0.0059,Adventure
pg41315.epub,0.0624,4.1688,3.5532,0.1574,0.2221,0.1953,0.0495,0.1338,0.0575,0.0801,0.0253,0.0017,0.0022,0.0175,0.0098,Adventure
pg30137.epub,0.0686,4.2426,3.3433,0.1516,0.2213,0.196,0.0713,0.103,0.0772,0.0652,0.0237,0.0022,0.0023,0.0111,0.0034,Adventure
